episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
22,63,1470.7857915450543,1000,1000,0,0,1000,275,0,725,0,1000,974,26,0,138,114,24,32,0,14767.363553641313,1000,23503,23503,23503,23503,0,18504,14.181814423322677,6.979259297609329,7.202555122375489,-104.56577801513671,0.41735485434532166,0.21602295339107513,0.2668249824345112,0.5347492216825486,103.45725644683839,103.45695265960693,103.4561785736084,14.370637100015301,"{""DC-1"": 380.5564699189616, ""DC-2"": 302.5721379461903, ""DC-3"": 353.0375618729581, ""DC-4"": 143.717297141551, ""DC-5"": 290.90232466539373}"
23,64,1279.20709860902,1000,1000,0,0,1000,300,0,700,0,1000,945,55,0,156,103,53,29,0,15992.955385590543,1000,24503,24503,24503,24503,0,19504,14.259826543092728,7.057807817578316,7.202018750548363,-107.47199440002441,0.37251187247037887,0.22637660801410675,0.2877918431162834,0.5347095340490341,106.50698152160645,106.50356581115723,106.50425301361084,14.344931800034828,"{""DC-1"": 323.35666723919206, ""DC-2"": 124.49011827029595, ""DC-3"": 311.3588269754626, ""DC-4"": 241.11396609745614, ""DC-5"": 278.88752002661454}"
24,65,1429.4467031408599,1000,1000,0,0,1000,250,0,750,0,1000,971,29,0,114,88,26,12,0,12881.694713762638,1000,25503,25503,25503,25503,0,20504,14.1388762819767,6.9523048050403595,7.186571448087692,-110.16230982971192,0.344308066546917,0.23711153864860535,0.29951722380518914,0.5348884347677231,109.25363214111329,109.25223155212403,109.2575291595459,14.458202199952211,"{""DC-1"": 271.09149513506355, ""DC-2"": 273.8683409285439, ""DC-3"": 322.09587643541914, ""DC-4"": 234.16082138383737, ""DC-5"": 328.2301692579957}"
25,66,1491.9382165170632,1000,1000,0,0,1000,292,0,708,0,1000,976,24,0,124,101,23,10,0,14374.078437804083,1000,26503,26503,26503,26503,0,21504,15.246266962766647,7.518044232726097,7.728222709536553,-112.7698070678711,0.29016064754128457,0.24735450744628906,0.3304088225960731,0.5349754705429077,111.7550513458252,111.75298043823243,111.750955078125,14.798008599958848,"{""DC-1"": 348.9225026968612, ""DC-2"": 267.178213854629, ""DC-3"": 322.80659182691755, ""DC-4"": 274.9237474482298, ""DC-5"": 278.1071606904262}"
26,67,1360.9859227849804,1000,1000,0,0,1000,272,0,728,0,1000,958,42,0,113,74,39,23,0,12730.98006139658,1000,27503,27503,27503,27503,0,22504,15.900389415740968,7.830203528046608,8.070185919046402,-115.7969853515625,0.23603161707520484,0.257101833820343,0.36355648094415666,0.5348497214317322,114.81577698516845,114.82072576904297,114.8112995223999,14.413038300001062,"{""DC-1"": 338.5782853020459, ""DC-2"": 325.44009685315905, ""DC-3"": 309.8951461546939, ""DC-4"": 147.51281171364747, ""DC-5"": 239.55958276143446}"
27,68,1438.6777821585856,1000,1000,0,0,1000,241,0,759,0,1000,972,28,0,120,93,27,11,0,13778.79946869504,1000,28503,28503,28503,28503,0,23504,16.333933729410173,8.071165863275528,8.262767840981484,-118.96792631530762,0.2166646528840065,0.2675829231739044,0.3730891593694687,0.534926448225975,118.0372872467041,118.02928074645996,118.02953285217285,14.431767900008708,"{""DC-1"": 349.4145024412863, ""DC-2"": 296.2941129408871, ""DC-3"": 315.4452541656136, ""DC-4"": 185.09910972784843, ""DC-5"": 292.42480288294996}"
28,69,1444.0809371866756,1000,1000,0,0,1000,245,0,755,0,1000,973,27,0,108,84,24,8,0,14658.336587157484,1000,29503,29503,29503,29503,0,24504,17.6868324842453,8.734070753574372,8.952761723876,-121.42729333496094,0.19625445267558098,0.27876460552215576,0.3838259274959564,0.5349603198766708,120.5144722290039,120.52838416290284,120.52076862335205,14.421965399989858,"{""DC-1"": 346.06346736073056, ""DC-2"": 269.48859037230363, ""DC-3"": 273.70646159316885, ""DC-4"": 224.87387600711193, ""DC-5"": 329.9485418533607}"
29,70,1552.9072848765013,1000,1000,0,0,1000,234,0,766,0,1000,989,11,0,69,62,7,5,0,12769.300880610746,1000,30503,30503,30503,30503,0,25504,16.427881140232085,8.102730526924134,8.325150631427764,-123.54441502380371,0.1845785508900881,0.29090800881385803,0.3879744848608971,0.5349387273788452,122.69982318115234,122.69744140625,122.70120793914795,14.522351899999194,"{""DC-1"": 338.11507582146425, ""DC-2"": 352.41614354812424, ""DC-3"": 326.3352062732778, ""DC-4"": 225.41201977520726, ""DC-5"": 310.6288394584274}"
30,71,1512.4467660899318,1001,1001,0,0,1001,242,1,758,0,1000,985,15,0,107,94,13,8,0,12182.811703604591,1004,31504,31504,31504,31504,0,26508,18.165839266017137,8.961817252089778,9.204022021882562,-125.3857811399665,0.14698971735231905,0.3022741377353668,0.4141100008055508,0.5350631943261955,124.63743171843875,124.63413634433215,124.64055546156439,14.568381000019144,"{""DC-1"": 321.59438193590495, ""DC-2"": 307.0238420462674, ""DC-3"": 346.35677844643857, ""DC-4"": 261.2473263229997, ""DC-5"": 276.2244373383212}"
31,72,1468.0306550749954,1004,1004,0,0,1004,265,4,735,0,1000,975,25,0,109,86,23,12,0,13727.440022264129,1004,32508,32508,32508,32508,0,27512,18.025617700174035,8.919319769538257,9.106297931348186,-127.10503790198095,0.12383703137952018,0.31358715891838074,0.42984848810857035,0.5348941242077436,126.28402270738822,126.285925086276,126.28199426871372,14.588754800031893,"{""DC-1"": 371.11044397555656, ""DC-2"": 281.23523751928053, ""DC-3"": 285.0762740725863, ""DC-4"": 235.50798364992306, ""DC-5"": 295.10071585764905}"
